date,bitcoin_price,bitcoin_vol.
02-02-2024,"43,194.70",42650.0
01-02-2024,"43,081.40",47690.0
31-01-2024,"42,580.50",56480.0
30-01-2024,"42,946.20",55130.0
29-01-2024,"43,299.80",45230.0
26-01-2024,"41,811.30",69470.0
25-01-2024,"39,935.70",46300.0
24-01-2024,"40,086.00",58640.0
23-01-2024,"39,888.80",82670.0
22-01-2024,"39,556.40",85100.0
19-01-2024,"41,648.00",72640.0
18-01-2024,"41,292.70",70350.0
17-01-2024,"42,768.70",50440.0
16-01-2024,"43,145.50",63930.0
12-01-2024,"42,835.90",136920.0
11-01-2024,"46,348.20",131040.0
10-01-2024,"46,629.30",131480.0
09-01-2024,"46,129.00",100090.0
08-01-2024,"46,962.20",103090.0
05-01-2024,"44,156.90",68070.0
04-01-2024,"44,157.00",68050.0
03-01-2024,"42,836.10",117650.0
02-01-2024,"44,943.70",97840.0
29-12-2023,"42,072.40",60980.0
28-12-2023,"42,581.10",49840.0
27-12-2023,"43,446.50",50100.0
26-12-2023,"42,513.30",56030.0
22-12-2023,"43,968.90",44500.0
21-12-2023,"43,865.90",48960.0
20-12-2023,"43,662.80",70190.0
19-12-2023,"42,259.30",55290.0
18-12-2023,"42,659.70",61580.0
15-12-2023,"41,929.00",45280.0
14-12-2023,"43,025.90",59150.0
13-12-2023,"42,884.50",63110.0
12-12-2023,"41,487.00",57040.0
11-12-2023,"41,256.10",105190.0
08-12-2023,"44,175.50",58440.0
07-12-2023,"43,289.70",63090.0
06-12-2023,"43,776.30",72520.0
05-12-2023,"44,076.20",96840.0
04-12-2023,"41,987.80",104210.0
01-12-2023,"38,688.20",62500.0
30-11-2023,"37,712.90",33530.0
29-11-2023,"37,855.50",49340.0
28-11-2023,"37,823.30",57500.0
27-11-2023,"37,248.60",45240.0
24-11-2023,"37,717.30",65830.0
22-11-2023,"37,410.80",64810.0
21-11-2023,"35,813.60",71070.0
20-11-2023,"37,454.10",51800.0
17-11-2023,"36,595.40",51370.0
16-11-2023,"36,161.20",66920.0
15-11-2023,"37,874.90",75510.0
14-11-2023,"35,549.30",63560.0
13-11-2023,"36,478.30",44550.0
10-11-2023,"37,303.00",59560.0
09-11-2023,"36,700.50",115560.0
08-11-2023,"35,636.90",46330.0
07-11-2023,"35,426.10",53490.0
06-11-2023,"35,042.00",29810.0
03-11-2023,"34,718.70",54540.0
02-11-2023,"34,931.40",63660.0
01-11-2023,"35,423.80",71660.0
31-10-2023,"34,650.60",43400.0
30-10-2023,"34,477.90",45200.0
27-10-2023,"33,901.80",47330.0
26-10-2023,"34,153.70",56620.0
25-10-2023,"34,496.80",75810.0
24-10-2023,"33,917.00",159080.0
23-10-2023,"33,041.80",133460.0
